category,name,description,endpoint,docs_link,,,,,,,,,,,,,,,,,,,,
blockchain,block_height,Current block height,/v1/metrics/blockchain/block_height,https://docs.glassnode.com/basic-api/endpoints/blockchain#get-v1-metrics-blockchain-block_height,,,,,,,,,,,,,,,,,,,,
blockchain,block_interval_mean,Mean block interval,/v1/metrics/blockchain/block_interval_mean,https://docs.glassnode.com/basic-api/endpoints/blockchain#get-v1-metrics-blockchain-block_interval_mean,,,,,,,,,,,,,,,,,,,,
blockchain,block_interval_median,Median block interval,/v1/metrics/blockchain/block_interval_median,https://docs.glassnode.com/basic-api/endpoints/blockchain#get-v1-metrics-blockchain-block_interval_median,,,,,,,,,,,,,,,,,,,,
blockchain,block_size_mean,Mean block size,/v1/metrics/blockchain/block_size_mean,https://docs.glassnode.com/basic-api/endpoints/blockchain#get-v1-metrics-blockchain-block_size_mean,,,,,,,,,,,,,,,,,,,,
blockchain,block_size_sum,Total block size,/v1/metrics/blockchain/block_size_sum,https://docs.glassnode.com/basic-api/endpoints/blockchain#get-v1-metrics-blockchain-block_size_sum,,,,,,,,,,,,,,,,,,,,
blockchain,utxo_count,UTXO set size,/v1/metrics/blockchain/utxo_count,https://docs.glassnode.com/basic-api/endpoints/blockchain#get-v1-metrics-blockchain-utxo_count,,,,,,,,,,,,,,,,,,,,
blockchain,utxo_created_count,UTXOs created count,/v1/metrics/blockchain/utxo_created_count,https://docs.glassnode.com/basic-api/endpoints/blockchain#get-v1-metrics-blockchain-utxo_created_count,,,,,,,,,,,,,,,,,,,,
blockchain,utxo_created_value_mean,Mean UTXO created value,/v1/metrics/blockchain/utxo_created_value_mean,https://docs.glassnode.com/basic-api/endpoints/blockchain#get-v1-metrics-blockchain-utxo_created_value_mean,,,,,,,,,,,,,,,,,,,,
blockchain,utxo_created_value_median,Median UTXO created value,/v1/metrics/blockchain/utxo_created_value_median,https://docs.glassnode.com/basic-api/endpoints/blockchain#get-v1-metrics-blockchain-utxo_created_value_median,,,,,,,,,,,,,,,,,,,,
blockchain,utxo_created_value_sum,Total UTXO created value,/v1/metrics/blockchain/utxo_created_value_sum,https://docs.glassnode.com/basic-api/endpoints/blockchain#get-v1-metrics-blockchain-utxo_created_value_sum,,,,,,,,,,,,,,,,,,,,
blockchain,utxo_loss_count,UTXOs in loss,/v1/metrics/blockchain/utxo_loss_count,https://docs.glassnode.com/basic-api/endpoints/blockchain#get-v1-metrics-blockchain-utxo_loss_count,,,,,,,,,,,,,,,,,,,,
blockchain,utxo_profit_count,UTXOs in profit,/v1/metrics/blockchain/utxo_profit_count,https://docs.glassnode.com/basic-api/endpoints/blockchain#get-v1-metrics-blockchain-utxo_profit_count,,,,,,,,,,,,,,,,,,,,
blockchain,utxo_profit_relative,% UTXOs in profit,/v1/metrics/blockchain/utxo_profit_relative,https://docs.glassnode.com/basic-api/endpoints/blockchain#get-v1-metrics-blockchain-utxo_profit_relative,,,,,,,,,,,,,,,,,,,,
blockchain,utxo_spent_count,UTXOs spent count,/v1/metrics/blockchain/utxo_spent_count,https://docs.glassnode.com/basic-api/endpoints/blockchain#get-v1-metrics-blockchain-utxo_spent_count,,,,,,,,,,,,,,,,,,,,
blockchain,utxo_spent_value_mean,Mean UTXO spent value,/v1/metrics/blockchain/utxo_spent_value_mean,https://docs.glassnode.com/basic-api/endpoints/blockchain#get-v1-metrics-blockchain-utxo_spent_value_mean,,,,,,,,,,,,,,,0.206,,,,,
blockchain,utxo_spent_value_median,Median UTXO spent value,/v1/metrics/blockchain/utxo_spent_value_median,https://docs.glassnode.com/basic-api/endpoints/blockchain#get-v1-metrics-blockchain-utxo_spent_value_median,,,,,,,,,,,,,,,0.171666667,,,,,
blockchain,utxo_spent_value_sum,Total UTXO spent value,/v1/metrics/blockchain/utxo_spent_value_sum,https://docs.glassnode.com/basic-api/endpoints/blockchain#get-v1-metrics-blockchain-utxo_spent_value_sum,,,,,,,,,,,,,,,,,,,,
breakdowns,marketcap_realized_usd_by_age,Realized cap by age,/v1/metrics/breakdowns/marketcap_realized_usd_by_age,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-marketcap_realized_usd_by_age,,,,,,,,,,,,,,,,,,,,
breakdowns,marketcap_realized_usd_by_pnl,Realized cap by PnL,/v1/metrics/breakdowns/marketcap_realized_usd_by_pnl,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-marketcap_realized_usd_by_pnl,,,,,,,,,,,,,,,,,,,,
breakdowns,marketcap_realized_usd_by_wallet_size,Realized cap by wallet sz,/v1/metrics/breakdowns/marketcap_realized_usd_by_wallet_size,https://docs.glassnode.com/basic-api/endpoints/breakdowns#get-v1-metrics-breakdowns-marketcap_realized_usd_by_wallet_size,,,,,,,,,,,,,,,,,,,,
